src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.21.0.5,172.21.0.3,46106,8443,2048,2026-01-25 17:59:49,0.043743,593992.1816061999,457.2160117047299,251.46880643760147,205.74720526712846,11,9,1627,24356,637,72,147.9090909090909,163.1075799729372,10072,72,2706.222222222222,3706.892702274081,10072,72,1299.15,2796.066062792509,7817985.427500002,220,180,20,3,0.002302263157894737,0.039137,0.0,0.008703216524832432,0.043743000000000004,0.03923,0.0,0.004374299999999999,0.011645300657776081,0.043724,0.041805,4e-06,0.0054655,0.013738566027791985,3,6,0,0,2,3,0,9,18,0,0,0.8181818181818182,1299.15,64240,65160,0,0,0,0,0,0,0,0,0,0,23182.0,4.0,0,3.6221875E+8,147.9090909090909,2706.222222222222,0,11,9,1627,24356
172.21.0.5,172.21.0.3,46108,8443,2048,2026-01-25 17:59:49,0.095187,32483.427358777986,199.60708920335762,126.06763528633113,73.53945391702649,12,7,1797,1295,637,72,149.75,165.12526810475333,335,72,185.0,107.17675654197203,637,72,162.73684210526315,147.45163064375174,21741.98337950139,240,140,20,3,0.005288166666666667,0.043859,0.0,0.013401791804954042,0.09518700000000001,0.043859,0.0,0.008653363636363636,0.01631422647024106,0.095168,0.050328,3.7e-05,0.015861333333333335,0.022199285819343127,3,4,0,0,2,3,0,7,17,0,0,0.5833333333333334,162.73684210526315,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.75,185.0,0,12,7,1797,1295
172.21.0.5,172.21.0.3,46124,8443,2048,2026-01-25 17:59:49,0.085064,57227.49929464873,223.36123389447945,141.07025298598703,82.29098090849243,12,7,1429,3439,366,72,119.08333333333333,89.90129618395697,2199,72,491.2857142857143,716.7144707992586,2199,72,256.2105263157895,476.014880234837,226590.16620498622,240,140,20,3,0.0047257777777777775,0.041861,0.0,0.01142854252667201,0.085064,0.042125,0.0,0.007733090909090909,0.013875732658491131,0.085045,0.072159,3.1e-05,0.014174166666666667,0.026184100197235896,3,4,0,0,2,3,0,7,17,0,0,0.5833333333333334,256.2105263157895,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.08333333333333,491.2857142857143,0,12,7,1429,3439
172.21.0.5,172.21.0.3,46128,8443,2048,2026-01-25 17:59:50,0.089414,33719.551748048405,212.4946876328092,134.20717113651108,78.28751649629812,12,7,1698,1317,637,72,141.5,157.51163978153065,335,72,188.14285714285714,107.60964982144435,637,72,158.68421052631578,142.97517363867166,20441.90027700831,240,140,20,3,0.0049674444444444445,0.042148,0.0,0.013094592782358774,0.089414,0.042191,0.0,0.008128545454545454,0.01606224137740794,0.089356,0.045004,3.2e-05,0.014892666666666665,0.020416359711978256,3,4,0,0,2,3,0,7,17,0,0,0.5833333333333334,158.68421052631578,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.5,188.14285714285714,0,12,7,1698,1317
172.21.0.5,172.21.0.3,46130,8443,2048,2026-01-25 17:59:50,0.051696,57876.818322500774,367.5332714329929,232.12627669452183,135.40699473847107,12,7,1695,1297,637,72,141.25,157.34946509812693,335,72,185.28571428571428,107.19236951216563,637,72,157.47368421052633,142.55391165636897,20321.61772853185,240,140,20,3,0.002872,0.04364,0.0,0.009959804053181857,0.051696,0.043826,0.0,0.004699636363636364,0.012458498401220876,0.051673000000000004,0.049651,3e-05,0.008612166666666666,0.01835410425869072,3,4,0,0,2,3,0,7,17,0,0,0.5833333333333334,157.47368421052633,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.25,185.28571428571428,0,12,7,1695,1297
172.21.0.5,172.21.0.3,46144,8443,2048,2026-01-25 17:59:50,0.049214,61100.49985776405,386.0690047547446,243.83305563457552,142.23594912016907,12,7,1693,1314,637,72,141.08333333333334,157.24368473451926,335,72,187.71428571428572,107.52370407856822,637,72,158.26315789473685,142.76400921405158,20381.562326869804,240,140,20,3,0.002734111111111111,0.042435,0.0,0.009679768298930903,0.049214,0.042572,0.0,0.004474,0.01210782792621819,0.049193,0.047445,3.2e-05,0.008198833333333332,0.017552350397374766,3,4,0,0,2,3,0,7,17,0,0,0.5833333333333334,158.26315789473685,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.08333333333334,187.71428571428572,0,12,7,1693,1314
172.21.0.5,172.21.0.3,46156,8443,2048,2026-01-25 17:59:50,0.05158,58646.762310973245,368.35982939123693,232.64831329972858,135.71151609150834,12,7,1689,1336,637,72,140.75,157.03774758530724,335,72,190.85714285714286,108.38875610034279,637,72,159.21052631578948,143.1354084507204,20487.745152354564,240,140,20,3,0.0028655555555555557,0.044003,0.0,0.010032800723528034,0.05158,0.044288,0.0,0.004689090909090909,0.01258753519416978,0.051564000000000006,0.04923,4.2e-05,0.008594,0.01817464117940159,3,4,0,0,2,3,0,7,17,0,0,0.5833333333333334,159.21052631578948,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.75,190.85714285714286,0,12,7,1689,1336
172.21.0.5,172.21.0.3,46172,8443,2048,2026-01-25 17:59:51,0.043205,66242.33306330285,393.47297766462214,231.45469274389538,162.01828492072676,10,7,1549,1313,637,72,154.9,168.8943160677706,335,72,187.57142857142858,107.49731842882294,637,72,168.35294117647058,147.63585614870541,21796.34602076124,200,140,20,3,0.0027003125,0.040821,0.0,0.009844198727669192,0.043205,0.041027,0.0,0.004800555555555556,0.01280954942490702,0.043179999999999996,0.041323,3e-05,0.007196666666666667,0.015263226763113433,3,4,0,0,2,3,0,7,15,0,0,0.7,168.35294117647058,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.9,187.57142857142858,0,10,7,1549,1313
172.21.0.5,172.21.0.3,46176,8443,2048,2026-01-25 17:59:51,0.045294,65372.89707245993,419.48160904314034,264.9357530798781,154.54585596326223,12,7,1715,1246,637,72,142.91666666666666,158.50944153442583,335,72,178.0,108.21671378699847,637,72,155.8421052631579,143.07166520678211,20469.501385041545,240,140,20,3,0.0025163333333333335,0.04126,0.0,0.009407650432848079,0.045294,0.041352,0.0,0.004117636363636364,0.011786566400107041,0.045272999999999994,0.043847,3.2e-05,0.007545499999999999,0.01623555574195106,3,4,0,0,2,3,0,7,17,0,0,0.5833333333333334,155.8421052631579,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.91666666666666,178.0,0,12,7,1715,1246
172.21.0.5,172.21.0.3,46184,8443,2048,2026-01-25 17:59:51,0.065126,75899.02650247213,291.7421613487701,184.25820716764426,107.48395418112581,12,7,1559,3384,377,72,129.91666666666666,110.20318986107233,2199,72,483.42857142857144,719.9932255917129,2199,72,260.1578947368421,477.2161888062116,227735.2908587258,240,140,20,3,0.0036181111111111114,0.042897,0.0,0.010229250064229693,0.065126,0.043039,0.0,0.005920545454545455,0.012598105307499339,0.065106,0.059914,3.1e-05,0.010851000000000001,0.021973702972720218,3,4,0,0,2,3,0,7,17,0,0,0.5833333333333334,260.1578947368421,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.91666666666666,483.42857142857144,0,12,7,1559,3384
