Metric,Value
Total Flows,106
Unique Source IPs,2
Unique Destination IPs,2
Average Flow Duration (s),0.11059728301886794
Average Throughput (bytes/s),140952.63744011827
Average Packet Size (bytes),383.98990323044757
Total Forward Packets,1233
Total Backward Packets,788
Most Common Flow Type,Bulk Transfer
Periodic Flows,55
Non-Periodic Flows,51
